Timestamp,BPM,RRIntervals
1779182932481,103,"[568,568,568,568,568,574,574,574,580,580,580,580,580,585,591,591,597,597,597,597]"
1779182932480,103,"[568,568,568,568,574,574,574,580,580,580,580,580,585,591,591,597,597,597,597,597]"
1779182931481,103,"[568,568,568,574,574,574,580,580,580,580,580,585,591,591,597,597,597,597,597,597]"
1779182930983,103,"[568,568,574,574,574,580,580,580,580,580,585,591,591,597,597,597,597,597,597,597]"
1779182930484,103,"[568,574,574,574,580,580,580,580,580,585,591,591,597,597,597,597,597,597,597,597]"
1779182929985,102,"[574,574,580,580,580,580,580,585,591,591,597,597,597,597,597,597,597,597,597,597]"
1779182929487,102,"[574,574,580,580,580,580,580,585,591,591,597,597,597,597,597,597,597,597,597,597]"
1779182928988,102,"[574,580,580,580,580,580,585,591,591,597,597,597,597,597,597,597,597,597,597,597]"
1779182928489,101,"[580,580,580,580,580,585,591,591,597,597,597,597,597,597,597,597,597,597,597,597]"
1779182927991,101,"[580,580,580,580,585,591,591,597,597,597,597,597,597,597,597,597,597,597,597,597]"
1779182927492,101,"[580,580,580,585,591,591,597,597,597,597,597,597,597,597,597,597,597,597,597,597]"
1779182926993,101,"[580,580,585,591,591,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597]"
1779182926497,101,"[580,585,591,591,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597]"
1779182925996,100,"[585,591,591,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597]"
1779182925497,99,"[591,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,603,603]"
1779182924998,99,"[591,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,603,603]"
1779182924499,98,"[597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,603,603,603]"
1779182924000,98,"[597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,603,603,603,603]"
1779182923502,98,"[597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,603,603,603,603,603]"
1779182923003,98,"[597,597,597,597,597,597,597,597,597,597,597,597,597,597,603,603,603,603,603,603]"
1779182922504,98,"[597,597,597,597,597,597,597,597,597,597,597,597,597,603,603,603,603,603,603,603]"
1779182922005,98,"[597,597,597,597,597,597,597,597,597,597,597,597,603,603,603,603,603,603,603,610]"
1779182921507,98,"[597,597,597,597,597,597,597,597,597,597,597,603,603,603,603,603,603,603,610,610]"
1779182921008,98,"[597,597,597,597,597,597,597,597,597,597,603,603,603,603,603,603,603,610,610,610]"
1779182920509,98,"[597,597,597,597,597,597,597,597,597,603,603,603,603,603,603,603,610,610,610,610]"
1779182920010,98,"[597,597,597,597,597,597,597,597,603,603,603,603,603,603,603,610,610,610,610,610]"
1779182919513,98,"[597,597,597,597,597,597,597,603,603,603,603,603,603,603,610,610,610,610,610,610]"
1779182919013,98,"[597,597,597,597,597,597,603,603,603,603,603,603,603,610,610,610,610,610,610,610]"
1779182918514,98,"[597,597,597,597,597,603,603,603,603,603,603,603,610,610,610,610,610,610,610,610]"
1779182918015,98,"[597,597,597,597,603,603,603,603,603,603,603,610,610,610,610,610,610,610,610,610]"
1779182917517,98,"[597,597,597,603,603,603,603,603,603,603,610,610,610,610,610,610,610,610,610,610]"
1779182917018,98,"[597,597,603,603,603,603,603,603,603,610,610,610,610,610,610,610,610,610,610,610]"
1779182916522,98,"[597,603,603,603,603,603,603,603,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182916021,97,"[603,603,603,603,603,603,603,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182915522,97,"[603,603,603,603,603,603,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182915023,97,"[603,603,603,603,603,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182914524,97,"[603,603,603,603,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182914025,97,"[603,603,603,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182913527,97,"[603,603,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182913030,97,"[603,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182912530,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182912031,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182911532,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182911033,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182910534,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182910039,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182909537,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182909038,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182908539,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182908041,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182907542,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182907043,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182906544,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610]"
1779182906047,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,616]"
1779182905547,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,616,616]"
1779182905048,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616]"
1779182904549,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,623]"
1779182904051,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,623,623]"
1779182903552,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,623,623,623]"
1779182903056,96,"[610,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,623,623,623,623]"
1779182902554,96,"[610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,623,623,623,623,629]"
1779182902055,96,"[610,610,610,610,610,610,610,610,610,610,610,616,616,616,623,623,623,623,629,636]"
1779182901557,96,"[610,610,610,610,610,610,610,610,610,610,616,616,616,623,623,623,623,629,636,636]"
1779182901058,96,"[610,610,610,610,610,610,610,610,610,616,616,616,623,623,623,623,629,636,636,636]"
1779182900560,96,"[610,610,610,610,610,610,610,610,616,616,616,623,623,623,623,629,636,636,636,643]"
1779182900062,96,"[610,610,610,610,610,610,610,616,616,616,623,623,623,623,629,636,636,636,643,643]"
1779182899565,96,"[610,610,610,610,610,610,616,616,616,623,623,623,623,629,636,636,636,643,643,643]"
1779182899328,96,"[610,610,610,610,610,616,616,616,623,623,623,623,629,636,636,636,643,643,643,643]"
1779182898825,96,"[610,610,610,610,616,616,616,623,623,623,623,629,636,636,636,643,643,643,643,643]"
1779182898326,96,"[610,610,610,616,616,616,623,623,623,623,629,636,636,636,643,643,643,643,643,643]"
1779182897827,96,"[610,610,616,616,616,623,623,623,623,629,636,636,636,643,643,643,643,643,643,643]"
1779182897329,96,"[610,616,616,616,623,623,623,623,629,636,636,636,643,643,643,643,643,643,643,636]"
1779182896831,95,"[616,616,616,623,623,623,623,629,636,636,636,643,643,643,643,643,643,643,636,636]"
1779182896331,95,"[616,616,623,623,623,623,629,636,636,636,643,643,643,643,643,643,643,636,636,623]"
1779182895832,95,"[616,623,623,623,623,629,636,636,636,643,643,643,643,643,643,643,636,636,623,616]"
1779182895334,94,"[623,623,623,623,629,636,636,636,643,643,643,643,643,643,643,636,636,623,616,610]"
1779182894836,94,"[623,623,623,629,636,636,636,643,643,643,643,643,643,643,636,636,623,616,610,610]"
1779182894336,94,"[623,623,629,636,636,636,643,643,643,643,643,643,643,636,636,623,616,610,610,603]"
1779182893838,94,"[623,629,636,636,636,643,643,643,643,643,643,643,636,636,623,616,610,610,603,597]"
1779182893340,93,"[629,636,636,636,643,643,643,643,643,643,643,636,636,623,616,610,610,603,597,585]"
1779182892840,92,"[636,636,636,643,643,643,643,643,643,643,636,636,623,616,610,610,603,597,585,585]"
1779182892341,92,"[636,636,643,643,643,643,643,643,643,636,636,623,616,610,610,603,597,585,585,580]"
1779182891844,92,"[636,643,643,643,643,643,643,643,636,636,623,616,610,610,603,597,585,585,580,574]"
1779182891344,91,"[643,643,643,643,643,643,643,636,636,623,616,610,610,603,597,585,585,580,574,568]"
1779182890845,91,"[643,643,643,643,643,643,636,636,623,616,610,610,603,597,585,585,580,574,568,568]"
1779182890346,91,"[643,643,643,643,643,636,636,623,616,610,610,603,597,585,585,580,574,568,568,562]"
1779182889849,91,"[643,643,643,643,636,636,623,616,610,610,603,597,585,585,580,574,568,568,562,562]"
1779182889349,91,"[643,643,643,636,636,623,616,610,610,603,597,585,585,580,574,568,568,562,562,562]"
1779182888850,91,"[643,643,636,636,623,616,610,610,603,597,585,585,580,574,568,568,562,562,562,562]"
1779182888351,91,"[643,636,636,623,616,610,610,603,597,585,585,580,574,568,568,562,562,562,562,562]"
1779182887852,92,"[636,636,623,616,610,610,603,597,585,585,580,574,568,568,562,562,562,562,562,562]"
1779182887354,92,"[636,623,616,610,610,603,597,585,585,580,574,568,568,562,562,562,562,562,562,562]"
1779182886857,94,"[623,616,610,610,603,597,585,585,580,574,568,568,562,562,562,562,562,562,562,562]"
1779182886358,95,"[616,610,610,603,597,585,585,580,574,568,568,562,562,562,562,562,562,562,562,568]"
1779182885858,96,"[610,610,603,597,585,585,580,574,568,568,562,562,562,562,562,562,562,562,568,568]"
1779182885359,96,"[603,597,585,585,580,574,568,568,562,562,562,562,562,562,562,562,568,568,574,574]"
1779182884860,97,"[603,597,585,585,580,574,568,568,562,562,562,562,562,562,562,562,568,568,574,574]"
1779182884362,98,"[597,585,585,580,574,568,568,562,562,562,562,562,562,562,562,568,568,574,574,574]"
1779182883862,100,"[585,585,580,574,568,568,562,562,562,562,562,562,562,562,568,568,574,574,574,580]"
1779182883364,100,"[585,580,574,568,568,562,562,562,562,562,562,562,562,568,568,574,574,574,580,585]"
1779182882865,101,"[580,574,568,568,562,562,562,562,562,562,562,562,568,568,574,574,574,580,585,591]"
1779182882366,102,"[574,568,568,562,562,562,562,562,562,562,562,568,568,574,574,574,580,585,591,597]"
1779182881867,103,"[568,568,562,562,562,562,562,562,562,562,568,568,574,574,574,580,585,591,597,603]"
